time_iso8601,stars_cumulative
2022-10-07 00:00:00+00:00,175
2022-10-11 00:00:00+00:00,176
2022-10-12 00:00:00+00:00,177
2022-10-14 00:00:00+00:00,178
2022-10-21 00:00:00+00:00,179
2022-10-23 00:00:00+00:00,180
2022-10-25 00:00:00+00:00,181
2022-10-26 00:00:00+00:00,183
2022-11-04 00:00:00+00:00,184
2022-11-13 00:00:00+00:00,185
2022-11-14 00:00:00+00:00,186
2022-11-25 00:00:00+00:00,187
2022-11-28 00:00:00+00:00,188
2022-12-03 00:00:00+00:00,189
2022-12-05 00:00:00+00:00,191
2022-12-12 00:00:00+00:00,193
2022-12-13 00:00:00+00:00,194
2022-12-15 00:00:00+00:00,195
2022-12-17 00:00:00+00:00,196
2022-12-20 00:00:00+00:00,198
2022-12-22 00:00:00+00:00,199
2022-12-23 00:00:00+00:00,203
2022-12-27 00:00:00+00:00,204
2022-12-28 00:00:00+00:00,205
2022-12-30 00:00:00+00:00,206
2023-01-04 00:00:00+00:00,208
2023-01-05 00:00:00+00:00,209
2023-01-06 00:00:00+00:00,210
2023-01-07 00:00:00+00:00,211
2023-01-08 00:00:00+00:00,212
2023-01-09 00:00:00+00:00,213
2023-01-10 00:00:00+00:00,215
2023-01-11 00:00:00+00:00,217
2023-01-12 00:00:00+00:00,218
2023-01-18 00:00:00+00:00,219
2023-01-23 00:00:00+00:00,220
2023-01-28 00:00:00+00:00,223
2023-02-04 00:00:00+00:00,224
2023-02-09 00:00:00+00:00,225
2023-02-10 00:00:00+00:00,226
2023-02-13 00:00:00+00:00,227
2023-02-15 00:00:00+00:00,228
2023-02-16 00:00:00+00:00,229
2023-02-18 00:00:00+00:00,231
2023-02-19 00:00:00+00:00,232
2023-02-20 00:00:00+00:00,235
2023-02-21 00:00:00+00:00,238
2023-02-22 00:00:00+00:00,239
2023-02-23 00:00:00+00:00,240
2023-02-27 00:00:00+00:00,241
2023-03-03 00:00:00+00:00,242
2023-03-04 00:00:00+00:00,244
2023-03-07 00:00:00+00:00,245
2023-03-08 00:00:00+00:00,247
2023-03-09 00:00:00+00:00,248
2023-03-11 00:00:00+00:00,249
2023-03-14 00:00:00+00:00,251
2023-03-20 00:00:00+00:00,253
2023-03-21 00:00:00+00:00,255
2023-03-22 00:00:00+00:00,257
2023-03-23 00:00:00+00:00,258
2023-03-24 00:00:00+00:00,260
2023-03-26 00:00:00+00:00,263
2023-03-27 00:00:00+00:00,268
2023-03-29 00:00:00+00:00,269
2023-03-30 00:00:00+00:00,271
2023-03-31 00:00:00+00:00,272
2023-04-02 00:00:00+00:00,273
2023-04-09 00:00:00+00:00,274
2023-04-10 00:00:00+00:00,275
2023-04-11 00:00:00+00:00,276
2023-04-13 00:00:00+00:00,277
2023-04-17 00:00:00+00:00,281
2023-04-19 00:00:00+00:00,283
2023-04-21 00:00:00+00:00,285
2023-04-23 00:00:00+00:00,287
2023-04-24 00:00:00+00:00,290
2023-04-25 00:00:00+00:00,291
2023-04-27 00:00:00+00:00,292
2023-05-01 00:00:00+00:00,293
2023-05-04 00:00:00+00:00,294
2023-05-05 00:00:00+00:00,295
2023-05-07 00:00:00+00:00,297
2023-05-08 00:00:00+00:00,299
2023-05-09 00:00:00+00:00,301
2023-05-10 00:00:00+00:00,303
2023-05-12 00:00:00+00:00,304
2023-05-14 00:00:00+00:00,306
2023-05-15 00:00:00+00:00,307
2023-05-17 00:00:00+00:00,308
2023-05-18 00:00:00+00:00,309
2023-05-21 00:00:00+00:00,311
2023-05-29 00:00:00+00:00,312
2023-05-30 00:00:00+00:00,313
2023-05-31 00:00:00+00:00,314
2023-06-02 00:00:00+00:00,317
2023-06-09 00:00:00+00:00,318
2023-06-10 00:00:00+00:00,319
2023-06-12 00:00:00+00:00,321
2023-06-13 00:00:00+00:00,322
2023-06-17 00:00:00+00:00,323
2023-06-18 00:00:00+00:00,324
2023-06-20 00:00:00+00:00,325
2023-06-25 00:00:00+00:00,326
2023-06-26 00:00:00+00:00,329
2023-06-27 00:00:00+00:00,330
2023-06-28 00:00:00+00:00,332
2023-07-02 00:00:00+00:00,333
2023-07-03 00:00:00+00:00,336
2023-07-06 00:00:00+00:00,337
2023-07-07 00:00:00+00:00,338
2023-07-08 00:00:00+00:00,339
2023-07-09 00:00:00+00:00,340
2023-07-10 00:00:00+00:00,342
2023-07-11 00:00:00+00:00,344
2023-07-12 00:00:00+00:00,345
2023-07-13 00:00:00+00:00,346
2023-07-15 00:00:00+00:00,347
2023-07-19 00:00:00+00:00,348
2023-07-20 00:00:00+00:00,349
2023-07-21 00:00:00+00:00,351
2023-07-22 00:00:00+00:00,353
2023-07-24 00:00:00+00:00,354
2023-07-27 00:00:00+00:00,355
2023-07-28 00:00:00+00:00,356
2023-07-30 00:00:00+00:00,357
2023-08-02 00:00:00+00:00,358
2023-08-07 00:00:00+00:00,360
2023-08-08 00:00:00+00:00,361
2023-08-09 00:00:00+00:00,362
2023-08-11 00:00:00+00:00,363
2023-08-14 00:00:00+00:00,364
2023-08-16 00:00:00+00:00,365
2023-08-17 00:00:00+00:00,366
2023-08-19 00:00:00+00:00,367
2023-08-21 00:00:00+00:00,368
2023-09-01 00:00:00+00:00,370
2023-09-02 00:00:00+00:00,371
2023-09-06 00:00:00+00:00,372
2023-09-11 00:00:00+00:00,373
2023-09-17 00:00:00+00:00,374
2023-09-22 00:00:00+00:00,375
2023-09-26 00:00:00+00:00,376
2023-09-27 00:00:00+00:00,377
2023-10-04 00:00:00+00:00,379
2023-10-10 00:00:00+00:00,380
2023-10-12 00:00:00+00:00,381
2023-10-13 00:00:00+00:00,382
2023-10-16 00:00:00+00:00,383
2023-10-17 00:00:00+00:00,384
2023-10-18 00:00:00+00:00,386
2023-10-20 00:00:00+00:00,388
2023-10-22 00:00:00+00:00,390
2023-10-23 00:00:00+00:00,391
2023-10-26 00:00:00+00:00,392
2023-10-30 00:00:00+00:00,393
2023-11-06 00:00:00+00:00,396
2023-11-08 00:00:00+00:00,398
2023-11-09 00:00:00+00:00,399
2023-11-11 00:00:00+00:00,400
2023-11-13 00:00:00+00:00,401
2023-11-21 00:00:00+00:00,403
2023-11-24 00:00:00+00:00,405
2023-11-26 00:00:00+00:00,406
2023-11-27 00:00:00+00:00,409
2023-11-28 00:00:00+00:00,410
2023-11-30 00:00:00+00:00,412
2023-12-02 00:00:00+00:00,413
2023-12-04 00:00:00+00:00,414
2023-12-05 00:00:00+00:00,415
2023-12-06 00:00:00+00:00,416
2023-12-07 00:00:00+00:00,417
2023-12-08 00:00:00+00:00,418
2023-12-10 00:00:00+00:00,419
2023-12-11 00:00:00+00:00,422
2023-12-12 00:00:00+00:00,425
2023-12-13 00:00:00+00:00,426
2023-12-16 00:00:00+00:00,428
2023-12-17 00:00:00+00:00,429
2023-12-18 00:00:00+00:00,431
2023-12-19 00:00:00+00:00,432
2023-12-21 00:00:00+00:00,433
2023-12-23 00:00:00+00:00,435
2023-12-25 00:00:00+00:00,436
2023-12-26 00:00:00+00:00,439
2023-12-28 00:00:00+00:00,441
2023-12-31 00:00:00+00:00,442
2024-01-02 00:00:00+00:00,443
2024-01-03 00:00:00+00:00,444
2024-01-05 00:00:00+00:00,448
2024-01-08 00:00:00+00:00,449
2024-01-09 00:00:00+00:00,450
2024-01-11 00:00:00+00:00,453
2024-01-12 00:00:00+00:00,455
2024-01-21 00:00:00+00:00,458
2024-01-26 00:00:00+00:00,459
2024-01-30 00:00:00+00:00,460
2024-02-02 00:00:00+00:00,461
2024-02-04 00:00:00+00:00,462
2024-02-06 00:00:00+00:00,463
2024-02-10 00:00:00+00:00,464
2024-02-15 00:00:00+00:00,465
2024-02-19 00:00:00+00:00,466
2024-02-22 00:00:00+00:00,467
2024-02-23 00:00:00+00:00,468
2024-02-26 00:00:00+00:00,470
2024-02-28 00:00:00+00:00,471
2024-03-01 00:00:00+00:00,472
2024-03-05 00:00:00+00:00,474
