time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-29 00:00:00+00:00,2,2,120,18
2023-03-30 00:00:00+00:00,4,4,19,8
2023-03-31 00:00:00+00:00,1,1,32,13
2023-04-01 00:00:00+00:00,2,2,19,9
2023-04-02 00:00:00+00:00,1,1,75,12
2023-04-03 00:00:00+00:00,5,5,97,22
2023-04-04 00:00:00+00:00,1,1,62,22
2023-04-05 00:00:00+00:00,2,2,31,10
2023-04-06 00:00:00+00:00,2,2,33,16
2023-04-07 00:00:00+00:00,3,3,59,18
2023-04-08 00:00:00+00:00,2,2,14,11
2023-04-09 00:00:00+00:00,2,2,41,11
2023-04-10 00:00:00+00:00,2,2,41,20
2023-04-11 00:00:00+00:00,3,3,67,17
2023-04-12 00:00:00+00:00,3,3,48,13
2023-04-13 00:00:00+00:00,2,2,44,21
2023-04-14 00:00:00+00:00,1,1,4,3
2023-04-15 00:00:00+00:00,2,2,22,7
2023-04-16 00:00:00+00:00,1,1,53,16
2023-04-17 00:00:00+00:00,4,4,49,32
2023-04-18 00:00:00+00:00,1,1,78,23
2023-04-19 00:00:00+00:00,5,4,41,13
2023-04-20 00:00:00+00:00,9,7,33,16
2023-04-21 00:00:00+00:00,5,4,61,25
2023-04-22 00:00:00+00:00,3,2,35,19
2023-04-23 00:00:00+00:00,5,4,100,24
2023-04-24 00:00:00+00:00,7,6,85,23
2023-04-25 00:00:00+00:00,5,3,32,17
2023-04-26 00:00:00+00:00,4,3,28,16
2023-04-27 00:00:00+00:00,5,4,26,14
2023-04-28 00:00:00+00:00,4,3,22,10
2023-04-29 00:00:00+00:00,3,2,13,10
2023-04-30 00:00:00+00:00,6,5,17,14
2023-05-01 00:00:00+00:00,4,3,10,10
2023-05-02 00:00:00+00:00,4,3,24,9
2023-05-03 00:00:00+00:00,2,2,52,18
2023-05-04 00:00:00+00:00,4,3,21,14
2023-05-05 00:00:00+00:00,3,2,86,20
2023-05-06 00:00:00+00:00,4,3,29,16
2023-05-07 00:00:00+00:00,3,2,20,9
2023-05-08 00:00:00+00:00,5,4,63,23
2023-05-09 00:00:00+00:00,4,3,87,19
2023-05-10 00:00:00+00:00,4,3,53,11
2023-05-11 00:00:00+00:00,5,4,46,15
2023-05-12 00:00:00+00:00,4,3,159,21
2023-05-13 00:00:00+00:00,4,3,53,9
2023-05-14 00:00:00+00:00,4,3,36,6
2023-05-15 00:00:00+00:00,6,5,153,28
2023-05-16 00:00:00+00:00,5,4,146,20
2023-05-17 00:00:00+00:00,6,4,96,23
2023-05-18 00:00:00+00:00,5,4,32,10
2023-05-19 00:00:00+00:00,4,3,27,16
2023-05-20 00:00:00+00:00,6,4,5,4
2023-05-21 00:00:00+00:00,7,5,34,13
2023-05-22 00:00:00+00:00,5,4,34,18
2023-05-23 00:00:00+00:00,2,2,49,13
2023-05-24 00:00:00+00:00,4,3,23,11
2023-05-25 00:00:00+00:00,4,3,34,11
2023-05-26 00:00:00+00:00,4,3,20,9
2023-05-27 00:00:00+00:00,3,2,24,8
2023-05-28 00:00:00+00:00,7,5,16,6
2023-05-29 00:00:00+00:00,8,7,41,20
2023-05-30 00:00:00+00:00,3,2,28,12
2023-05-31 00:00:00+00:00,3,2,57,9
2023-06-01 00:00:00+00:00,7,5,98,20
2023-06-02 00:00:00+00:00,4,3,22,13
2023-06-03 00:00:00+00:00,4,3,3,2
2023-06-04 00:00:00+00:00,3,2,33,4
2023-06-05 00:00:00+00:00,4,3,44,12
2023-06-06 00:00:00+00:00,5,4,34,11
2023-06-07 00:00:00+00:00,4,3,46,12
2023-06-08 00:00:00+00:00,3,2,11,7
2023-06-09 00:00:00+00:00,6,5,23,13
2023-06-10 00:00:00+00:00,6,3,1,1
2023-06-11 00:00:00+00:00,3,2,69,7
2023-06-12 00:00:00+00:00,5,5,68,18
2023-06-13 00:00:00+00:00,6,5,47,12
2023-06-14 00:00:00+00:00,4,3,19,8
2023-06-15 00:00:00+00:00,7,4,99,15
2023-06-16 00:00:00+00:00,4,3,33,9
2023-06-17 00:00:00+00:00,3,3,117,12
2023-06-18 00:00:00+00:00,5,4,64,6
2023-06-19 00:00:00+00:00,4,3,56,6
2023-06-20 00:00:00+00:00,4,3,7,4
2023-06-21 00:00:00+00:00,4,3,29,10
2023-06-22 00:00:00+00:00,6,4,28,5
