time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-26 00:00:00+00:00,5.0,3.0,9,3
2023-08-27 00:00:00+00:00,3.0,2.0,2,2
2023-08-28 00:00:00+00:00,4.0,3.0,9,7
2023-08-29 00:00:00+00:00,3.0,2.0,19,5
2023-08-30 00:00:00+00:00,3.0,2.0,3,3
2023-08-31 00:00:00+00:00,3.0,2.0,9,7
2023-09-01 00:00:00+00:00,5.0,4.0,32,8
2023-09-02 00:00:00+00:00,4.0,3.0,62,3
2023-09-03 00:00:00+00:00,4.0,3.0,2,1
2023-09-04 00:00:00+00:00,4.0,3.0,13,7
2023-09-05 00:00:00+00:00,3.0,2.0,42,5
2023-09-06 00:00:00+00:00,4.0,3.0,47,15
2023-09-07 00:00:00+00:00,7.0,5.0,24,5
2023-09-08 00:00:00+00:00,,,29,5
