url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,316,163
/Ricardokevins/Bert-In-Relation-Extraction/issues,24,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,23,18
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,19,15
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,17,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,15,11
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,14,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,12,10
/Ricardokevins/Bert-In-Relation-Extraction/search,11,9
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,11,8
