url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,200,109
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,91,9
/Ricardokevins/Bert-In-Relation-Extraction/issues,76,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,46,15
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,45,15
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,43,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,36,13
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,30,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,26,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,19,7
