url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,224,123
/Ricardokevins/Bert-In-Relation-Extraction/issues,75,15
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,51,14
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,50,16
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,44,14
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,35,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,32,11
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,29,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,29,10
/Ricardokevins/Bert-In-Relation-Extraction/issues/55,29,2
