url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,100,62
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,25,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,20,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,18,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,15,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,12,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,7,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,7,3
/Ricardokevins/Bert-In-Relation-Extraction/issues,5,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,5,3
