url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,163,90
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,44,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,32,10
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,30,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,27,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,24,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,21,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,21,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,20,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,19,5
