url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,92,42
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,8,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,5,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,4,1
/Ricardokevins/Bert-In-Relation-Extraction/issues,3,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,3,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010979.png,2,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,1,1
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010980.png,1,1
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-20201025015454713.png,1,1
