url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,112,70
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,12,5
/Ricardokevins/Bert-In-Relation-Extraction/issues,9,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main,8,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,7,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,6,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,6,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,6,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image.png,5,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,5,2
