time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,8,7,6,5
2025-10-29 00:00:00+00:00,14,4,12,3
2025-10-30 00:00:00+00:00,1,1,6,4
2025-10-31 00:00:00+00:00,5,4,5,4
2025-11-01 00:00:00+00:00,14,4,1,1
2025-11-02 00:00:00+00:00,8,2,1,1
2025-11-03 00:00:00+00:00,15,5,10,2
2025-11-04 00:00:00+00:00,1,1,2,2
2025-11-05 00:00:00+00:00,12,6,19,4
2025-11-06 00:00:00+00:00,4,2,16,3
2025-11-07 00:00:00+00:00,7,2,3,3
2025-11-08 00:00:00+00:00,4,3,1,1
2025-11-09 00:00:00+00:00,11,5,3,2
2025-11-10 00:00:00+00:00,1,1,3,2
