url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,99,57
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,34,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,16,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,13,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,12,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,12,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,12,4
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,11,3
/Ricardokevins/Bert-In-Relation-Extraction/issues,10,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/run.sh,9,2
