time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,10,5,2,2
2026-04-04 00:00:00+00:00,14,9,2,2
2026-04-05 00:00:00+00:00,16,7,1,1
2026-04-06 00:00:00+00:00,1,1,1,1
2026-04-07 00:00:00+00:00,10,5,2,2
2026-04-08 00:00:00+00:00,16,7,2,2
2026-04-09 00:00:00+00:00,10,5,14,1
2026-04-10 00:00:00+00:00,13,8,1,1
2026-04-11 00:00:00+00:00,15,9,2,2
2026-04-12 00:00:00+00:00,31,9,3,3
2026-04-13 00:00:00+00:00,17,6,28,5
2026-04-14 00:00:00+00:00,11,5,3,2
2026-04-15 00:00:00+00:00,19,7,3,2
2026-04-16 00:00:00+00:00,9,4,1,1
