url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,105,54
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,30,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,29,13
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,21,8
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,18,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,17,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,12,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,12,4
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/__pycache__,12,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,10,5
