time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,,,6,3
2022-11-24 00:00:00+00:00,3.0,2.0,30,13
2022-11-25 00:00:00+00:00,2.0,2.0,4,2
2022-11-26 00:00:00+00:00,,,23,8
2022-11-27 00:00:00+00:00,1.0,1.0,6,4
2022-11-28 00:00:00+00:00,,,15,12
2022-11-29 00:00:00+00:00,1.0,1.0,18,10
2022-11-30 00:00:00+00:00,,,33,13
2022-12-01 00:00:00+00:00,,,43,9
2022-12-02 00:00:00+00:00,,,14,4
2022-12-03 00:00:00+00:00,1.0,1.0,8,4
2022-12-04 00:00:00+00:00,,,14,7
2022-12-05 00:00:00+00:00,,,29,10
2022-12-06 00:00:00+00:00,4.0,2.0,26,8
