url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,177,93
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,34,8
/Ricardokevins/Bert-In-Relation-Extraction/issues,29,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,27,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,23,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,18,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,18,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010979.png,15,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,15,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,12,6
