url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,113,62
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,24,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,22,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,18,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,14,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,13,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,12,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,10,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,9,5
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,9,5
