url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,151,92
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,38,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,34,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,30,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,30,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,20,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,18,8
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,16,6
/Ricardokevins/Bert-In-Relation-Extraction/tree/main,16,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,12,4
