url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,235,118
/Ricardokevins/Bert-In-Relation-Extraction/issues,71,16
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,43,13
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,42,14
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,42,13
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,34,13
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,34,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,32,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,31,9
/Ricardokevins/Bert-In-Relation-Extraction/issues/55,29,2
