url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,30,19
/Ricardokevins/Bert-In-Relation-Extraction/tree/main,4,2
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/.github/workflows,4,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/.github/workflows/github-repo-stats.yml,3,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,3,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/__pycache__/loader.cpython-36.pyc,3,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,3,2
/Ricardokevins/Bert-In-Relation-Extraction/fork,3,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,3,1
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,2,2
