url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,169,93
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,30,7
/Ricardokevins/Bert-In-Relation-Extraction/issues,29,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,21,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,19,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010979.png,17,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,16,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,15,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,12,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,11,3
