url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,275,153
/Ricardokevins/Bert-In-Relation-Extraction/issues,25,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,16,12
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,16,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,13,12
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,13,9
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,10,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,8,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,8,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,7,6
