url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,170,84
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,41,10
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,37,8
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,30,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,22,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,21,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,21,5
/Ricardokevins/Bert-In-Relation-Extraction/issues,20,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,20,7
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,20,7
