time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-27 00:00:00+00:00,5,2,121,10
2024-04-28 00:00:00+00:00,1,1,19,7
2024-04-29 00:00:00+00:00,1,1,90,12
2024-04-30 00:00:00+00:00,2,2,22,8
2024-05-01 00:00:00+00:00,5,2,20,3
2024-05-02 00:00:00+00:00,6,3,15,6
2024-05-03 00:00:00+00:00,1,1,1,1
2024-05-04 00:00:00+00:00,11,4,38,6
2024-05-05 00:00:00+00:00,6,4,44,8
2024-05-06 00:00:00+00:00,13,5,33,16
2024-05-07 00:00:00+00:00,1,1,189,11
2024-05-08 00:00:00+00:00,1,1,34,10
2024-05-09 00:00:00+00:00,1,1,45,13
2024-05-10 00:00:00+00:00,1,1,50,8
