time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,2.0,2.0,9,2
2025-06-05 00:00:00+00:00,9.0,5.0,6,4
2025-06-06 00:00:00+00:00,5.0,3.0,29,7
2025-06-07 00:00:00+00:00,2.0,2.0,2,2
2025-06-08 00:00:00+00:00,5.0,3.0,11,2
2025-06-09 00:00:00+00:00,5.0,2.0,5,4
2025-06-10 00:00:00+00:00,1.0,1.0,8,3
2025-06-11 00:00:00+00:00,2.0,2.0,10,5
2025-06-12 00:00:00+00:00,6.0,6.0,42,8
2025-06-13 00:00:00+00:00,11.0,6.0,7,5
2025-06-14 00:00:00+00:00,6.0,4.0,53,6
2025-06-15 00:00:00+00:00,3.0,3.0,13,4
2025-06-16 00:00:00+00:00,7.0,7.0,14,4
2025-06-17 00:00:00+00:00,,,94,10
