url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,91,59
/Ricardokevins/Bert-In-Relation-Extraction/issues,12,9
/Ricardokevins/Bert-In-Relation-Extraction/issues/56,9,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,6,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,6,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,5,4
/Ricardokevins/Bert-In-Relation-Extraction/issues/58,4,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,3,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,3,2
/Ricardokevins/Bert-In-Relation-Extraction/branches,3,2
