time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-17 00:00:00+00:00,1,1,5.0,5.0
2025-09-18 00:00:00+00:00,2,2,14.0,4.0
2025-09-19 00:00:00+00:00,9,6,3.0,2.0
2025-09-20 00:00:00+00:00,1,1,,
2025-09-21 00:00:00+00:00,5,5,2.0,2.0
2025-09-22 00:00:00+00:00,7,7,2.0,1.0
2025-09-23 00:00:00+00:00,1,1,5.0,2.0
2025-09-24 00:00:00+00:00,1,1,17.0,4.0
2025-09-25 00:00:00+00:00,6,5,6.0,4.0
2025-09-26 00:00:00+00:00,1,1,,
2025-09-27 00:00:00+00:00,2,2,2.0,2.0
2025-09-28 00:00:00+00:00,1,1,1.0,1.0
2025-09-29 00:00:00+00:00,12,8,2.0,2.0
2025-09-30 00:00:00+00:00,1,1,1.0,1.0
