time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,21,8,0,0
2026-05-13 00:00:00+00:00,34,11,0,0
2026-05-14 00:00:00+00:00,27,9,0,0
2026-05-15 00:00:00+00:00,22,9,1,1
2026-05-16 00:00:00+00:00,15,5,1,1
2026-05-17 00:00:00+00:00,13,4,10,5
2026-05-18 00:00:00+00:00,24,8,0,0
2026-05-19 00:00:00+00:00,39,12,1,1
2026-05-20 00:00:00+00:00,13,5,0,0
2026-05-21 00:00:00+00:00,16,6,0,0
2026-05-22 00:00:00+00:00,19,5,0,0
2026-05-23 00:00:00+00:00,15,4,0,0
2026-05-24 00:00:00+00:00,15,6,0,0
2026-05-25 00:00:00+00:00,13,6,0,0
