url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,115,72
/Ricardokevins/Bert-In-Relation-Extraction/tree/main,9,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,7,5
/Ricardokevins/Bert-In-Relation-Extraction/issues,6,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,6,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,6,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,6,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,4,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,4,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,4,3
