url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,90,41
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,9,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010980.png,8,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,7,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,7,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,6,5
/Ricardokevins/Bert-In-Relation-Extraction/issues,6,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,5,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010979.png,5,1
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,4,4
